timestamp,file_path,status,details
2025-10-17T08:03:18.114162,processed/schema_documents/dataset_5MB/documents/document_824.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.114359,processed/schema_documents/dataset_5MB/documents/document_10798.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.114619,processed/schema_documents/dataset_5MB/documents/document_2510.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.114836,processed/schema_documents/dataset_5MB/documents/document_7600.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.115369,processed/schema_documents/dataset_5MB/documents/document_609.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.115561,processed/schema_documents/dataset_5MB/documents/document_2947.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.115745,processed/schema_documents/dataset_5MB/documents/document_2414.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.115910,processed/schema_documents/dataset_5MB/documents/document_7929.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.116186,processed/schema_documents/dataset_5MB/documents/document_6050.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.116376,processed/schema_documents/dataset_5MB/documents/document_11170.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.116562,processed/schema_documents/dataset_5MB/documents/document_6396.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.116752,processed/schema_documents/dataset_5MB/documents/document_5555.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.116957,processed/schema_documents/dataset_5MB/documents/document_3696.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.117340,processed/schema_documents/dataset_5MB/documents/document_4780.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.117608,processed/schema_documents/dataset_5MB/documents/document_5191.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.117855,processed/schema_documents/dataset_5MB/documents/document_3784.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.118058,processed/schema_documents/dataset_5MB/documents/document_1490.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.118225,processed/schema_documents/dataset_5MB/documents/document_4542.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.118424,processed/schema_documents/dataset_5MB/documents/document_3792.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.118658,processed/schema_documents/dataset_5MB/documents/document_3454.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.118851,processed/schema_documents/dataset_5MB/documents/document_6206.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.119121,processed/schema_documents/dataset_5MB/documents/document_4846.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.119366,processed/schema_documents/dataset_5MB/documents/document_1081.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.119591,processed/schema_documents/dataset_5MB/documents/document_2212.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.119789,processed/schema_documents/dataset_5MB/documents/document_3474.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.119977,processed/schema_documents/dataset_5MB/documents/document_11306.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.120194,processed/schema_documents/dataset_5MB/documents/document_8668.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.120379,processed/schema_documents/dataset_5MB/documents/document_10517.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.120558,processed/schema_documents/dataset_5MB/documents/document_10002.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.120746,processed/schema_documents/dataset_5MB/documents/document_10901.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.120970,processed/schema_documents/dataset_5MB/documents/document_8957.json,REFORMATTED,JSON original era válido. Apenas reformatado.
2025-10-17T08:03:18.121164,processed/schema_documents/dataset_5MB/documents/document_10540.json,REFORMATTED,JSON original era válido. Apenas reformatado.
